ROW_ID,LONGITUDE,LATITUDE,CRASH_TIME
22413,NULL,NULL,21:59:00
22353,-73.7577,40.7110,01:16:00
24048,-73.9358,40.8037,02:51:00
25698,-73.9185,40.7039,19:45:00
22479,-73.9297,40.8566,20:20:00
23154,-73.8673,40.7494,18:30:00
24169,-73.8813,40.7541,16:00:00
21819,-73.9673,40.5763,17:54:00
22017,-73.9064,40.6564,20:30:00
23832,-73.9437,40.8153,01:30:00
22160,-73.9007,40.8131,16:49:00
32570,-73.9218,40.6770,15:45:00
21826,-73.8673,40.7402,01:10:00
21569,-73.8542,40.7578,00:15:00
21458,-73.9541,40.7427,19:00:00
